weather_main,mae,count
Fog,580.0624812333053,209
Haze,331.9108557101169,312
Snow,290.35244361941324,354
Mist,258.4237970759583,863
Clear,229.48296293757218,2849
Clouds,223.30049229147832,2543
Drizzle,200.2122030890895,358
Rain,191.10409873826768,549
Thunderstorm,181.3678158409234,76
Smoke,76.86536795592701,2
