model,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
Dummy,1744.6886240195527,1723.976898534582,1988.3744232208273,1970.206195090623,0.0,-0.00014398968995377182
Linear Regression,667.7497645007898,656.52094970133,876.37850001832,862.1442021931759,0.805738341158075,0.8084866766405518
Decision Tree,131.12640613807253,271.15407227183266,225.84143330131198,449.4052863332914,0.9870993703840404,0.9479626080450619
Random Forest Default,72.89465784812076,228.49878696857672,123.44820828762529,383.41756513530896,0.9961454538852029,0.962122336755165
Random Forest Tuned,149.0732833707005,219.95101766782437,253.24656732793173,373.0067598457836,0.983778507932682,0.9641513691421731
