feature,importance,std
hour_cos,991.5639514023015,8.384192458794047
hour,550.3728963276629,5.344273478274333
hour_sin,303.5868340256316,1.0453947063665676
day_of_week,116.40867862255584,4.583248171828301
dow_sin,109.85285244772342,3.8908002660001673
is_weekend,81.27263167697517,3.6710769606636435
dow_cos,30.884109774769183,2.750441508990024
is_holiday,23.974163514602697,2.31635398096146
temp,19.641142685194087,1.511092501955943
month_cos,6.431666084858411,0.7561170979525643
weather_main,6.050250723565976,1.392775506652944
clouds_all,3.896953008804843,0.47688972160423393
month_sin,2.5067019407087705,0.3338922338003776
month,2.047650670171341,0.8409991208657107
rain_1h,0.01947968737054377,0.22813985025059094
snow_1h,0.0,0.0
year,-1.8947806286936004e-14,2.6796244628203094e-14
